Track,Race_Date,Race_No,Box,Dog_Name,Tab_No,FF_Form,BP,A/S,WT (kg),Trainer,Sire,Dam,Owner,Career_W-P-S,Prize_Money,RTC,DLR,DLW,Car_PM/s (G1),12m_PM/s (G2),API (G3),RTC/km,Trainer_Win_%,Trainer_Place_%,Raced_Dist_W-P-S,Crs_W-P-S,Dist_W-P-S,FU_W-P-S,2U_W-P-S,DOD,Avg_Speed_km/h,Min_Speed_km/h,Max_Speed_km/h,Hist_Date,Hist_Track,Hist_Distance,Hist_Finish_Pos,Hist_Margin_L,Hist_Race_Time,Hist_Sec_Time,Hist_Sec_Time_Adj,Hist_Speed_km/h,Hist_SOT,Hist_RST,Hist_BP,Hist_Odds,Hist_API,Hist_Prize_Won,Hist_Winner,Hist_2nd_Place,Hist_3rd_Place,Hist_Settled_Turn,Hist_Ongoing_Winners,Hist_Track_Direction,Hist_Count,Data_Source_File,Parse_Timestamp,Meeting_Type,Weather,Track_Condition,Rail_Position,Start_Type,Prize_Pool,Field_Size,Race_Class,Race_Grade,Stewards_Report,DOB,Age_Months,Color_Detail,Microchip_ID,Registration_Status,Breeding_State,Sale_Price,Kennel_Name,Previous_Trainer,Transfer_Date,Last_Trial_Date,Last_Trial_Time,Injury_History,Vaccination_Status,Retirement_Status,Sect1_Avg,Sect2_Avg,Sect3_Avg,Early_Pace_Rank,Mid_Pace_Rank,Late_Pace_Rank,Consistency_Index,Form_Trend,Strike_Rate,ROI,Avg_Odds,Min_Odds,Max_Odds,Days_Since_Last_Run,Days_Since_Last_Win,Days_Since_Last_Place,Track_Starts_Total,Track_Wins,Track_Places,Track_Win_Pct,Track_Place_Pct,Dist_Starts_Total,Dist_Wins,Dist_Places,Dist_Win_Pct,Dist_Place_Pct
Cannington,2025-11-12,,1,Paradise Flyer,13575,,,,,COLLEEN PIERSON,ALLEN DEED,BLUE GLITTER,"Pierson Marsigalia Synd S Marsigalia,C Pierson",3-5-28,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,1,Scelzi,26452,,,,,KODY CHARLES,HOOKED ON SCOTCH,JORDAN SPARKLES,"Charles Triplett Synd K Charles,B Triplett",0-3-7,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,1,Yunderup Tammy,32656,,,,,MICHAEL RYLANDS,TOMMY SHELBY,YUNDERUP DIP,E Miles L Elliott,0-4-17,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,1,Panthers Magic,1,,,,,JUSTIN WOOD,VICE GRIP,YUNDERUP MAGIC,Amanda Oliver,1-0-1,"3,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,1,Don't Play Games,84136,,,,,,EL GRAND SENOR,PRINCESS RIOT,Jesse Erenshaw,2-3-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,1,Thank You Joe,27185,,,,,JOSEPH DAILLY,ALLEN DEED,BLUE GLITTER,Sarah Appleton,5-7-20,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,1,Harmony Rhythm,72353,,,,,,B	ENZO CRUDELI BARCIA BALE,WICKED RHYTHM,"Ten Eighty Synd G Crudeli,D Crudeli,E Crudeli,S Crudeli,R Crudeli,J Starkie,G Crudeli,E Ashby,J Crudeli,G Ashby",6-18-50,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,1,Sunset Skylight,34362,,,,,VICTORIA COOK,SUNSET SPITFIRE,SUNSET PIPER,Karl Hassan,7-11-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,1,Killer Kelly,43433,,,,,,B	GLEN CURRIE INCAPACITATED,FIRE FLY CHARLEE,Robert Burns,5-20-50,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,1,Red Hot Bernie,13121,,,,,SHAYNE WILLIAMS,BERNARDO,RED HOT CHEVY,Ben Damon,8-6-17,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,2,Predator Gundi,55672,,,,,MELISSA POLINELLI,OAKS ROAD,WHAT A HOOT,Geoffrey Reid,6-5-27,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,2,Berrigan Drive,45725,,,,,JOSEPH DAILLY,SHIMA SHINE,FABRIOLA ALI,Corina Dailly,0-1-11,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,2,Hannah's Passion,74,,,,,DAVID MAGISTRO,TOMMY SHELBY,SANDY CAN BROWSE,Sandra Magistro,0-0-2,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,2,Aureate,32228,,,,,KODY CHARLES,HOOKED ON SCOTCH,JORDAN SPARKLES,Kody Charles,0-5-10,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,2,Wyong El Paso,74662,,,,,,FERNANDO BALE,GYPSY WYONG,Corina Dailly,2-6-28,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,2,Lady Freya,55612,,,,,,B	ENZO CRUDELI KOBLENZ,SPEED MISSILE,"Ten Eighty Synd G Crudeli,D Crudeli,E Crudeli,S Crudeli,R Crudeli,J Starkie,G Crudeli,E Ashby,J Crudeli,G Ashby",6-18-50,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,2,Canya Bon Bon,46666,,,,,BRETT MAZGALTSIDIS,SENNACHIE,BOMBSHELL BANDIT,Sandra Magistro,4-11-42,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,2,Cyclonic Clinton,18447,,,,,BENJAMIN MACLEAN,ZACK MONELLI,CYCLONE RUBY LEE,Ash Jenkins,7-22-56,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,2,Trunkey Frank,47757,,,,,LEXIA ISAAC,SHIMA SHINE,TRUNKEY ROSE,Anthony Godden,4-6-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,2,Trunkey Rebel,18526,,,,,LEXIA ISAAC,,,"Isaac Pollard Synd L Isaac,M Pollard",12-19-60,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,2,Speedy Deville,23122,,,,,,B	ENZO CRUDELI AUSSIE INFRARED,AKACHI,"Ten Eighty Synd G Crudeli,D Crudeli,E Crudeli,S Crudeli,R Crudeli,J Starkie,G Crudeli,E Ashby,J Crudeli,G Ashby",6-18-50,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,2,Pecorino Monelli,43713,,,,,BENJAMIN MACLEAN,SUNSET SPITFIRE,FLAKE MONELLI,Catherine Collins,13-13-64,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,3,Don't Turn,57685,,,,,,SH AVATAR,BELLA CAN BROWSE,Sandra Magistro,3-4-22,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,3,Champagne Cathy,25233,,,,,BENJAMIN MACLEAN,AUSSIE INFRARED,ONLY A GUESS,Catherine Collins,0-6-10,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,3,On Red Alert,72363,,,,,COREY WHITE,AUSSIE INFRARED,WE THE PEOPLE,"D Bow, N Bow, R Stewart, S Miller",0-4-13,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,3,Hunter,56464,,,,,COREY WHITE,TOMMY SHELBY,UNO CARLA,Corey White,0-0-7,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,3,Just A Babe,14665,,,,,CHRISTOPHER HALSE,TOMMY SHELBY,DELUXE MODEL,Justin Warwick,3-3-16,"1,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,3,Fearless Parker,78217,,,,,TREVOR AUGUSTIN,TOMMY SHELBY,TAHLEIA BRAE,Trevor Augustin,17-29-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,3,Reina,44852,,,,,JOSEPH DAILLY,,,Jack Dailly,3-7-36,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,3,Rapido Mystique,18512,,,,,KELLIE BUCKWELL,FERNANDO BALE,RAPIDO LASS,Kellie Buckwell,7-8-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,3,Bruiser My Uncle,13482,,,,,,SH AVATAR,BELLA CAN BROWSE,Sandra Magistro,5-9-22,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,4,Woodburn Grace,31686,,,,,MICHAEL RYLANDS,,,Wayne Prestwidge,4-17-43,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,4,Summer Swell,87,,,,,COREY WHITE,TOMMY SHELBY,UNO CARLA,Corey White,0-0-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,4,Ariel's Drive,26,,,,,JOSEPH DAILLY,S OLIVER,BAGO MOSCATO,Jack Dailly,0-1-2,771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,4,Impress Nemo,72,,,,,COSI DAGOSTINO,,,"Crawford Stewart Synd L Crawford,J Stewart",0-1-2,771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,4,Speed Cheller,53523,,,,,,D	ENZO CRUDELI FERNANDO BALE,SPEED MISSILE,"Ten Eighty Synd G Crudeli,D Crudeli,E Crudeli,S Crudeli,R Crudeli,J Starkie,G Crudeli,E Ashby,J Crudeli,G Ashby",6-18-50,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,4,Rippin' Blue,65718,,,,,SHAYNE WILLIAMS,,,Shayne Williams,1-0-6,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,4,Ferndale Flyer,46323,,,,,GORDON HIND,VICE GRIP,HAPPY TALK,Gordon Hind,4-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,4,Judge Jebrynah,44427,,,,,,WOW,LITTLE JEBRYNAH,Tracey Hine,5-15-41,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannington,2025-11-12,,4,Infrared Gem,44451,,,,,DANIEL BEAMISH,AUSSIE INFRARED,FABS GEM,Antonino Barranca,6-21-51,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANNG1211form conv.docx,2025-11-16T23:50:10.554641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
